,Country,Year,pop,Region,co2_mtco2,coalcons_mtoe,coalprod_mtoe,gascons_mtoe,gasprod_mtoe,hydro_mtoe,hydro_twh,nuclear_mtoe,nuclear_twh,oilcons_mtoe,oilprod_mt,primary_gj_pc,primary_mtoe,renewables_mtoe,renewables_twh,solar_mtoe,solar_twh,wind_mtoe,wind_twh,$ money of the day,$ 2018
357,Total S. & Cent. America,1998,411.91188,,906.3446173000001,20.75156246,30.402414500000003,80.64199505,79.50822554,119.15824930000001,526.6079671,2.425788071,10.720527800000001,240.5949597,353.9165232,47.41106721,466.4464944,2.87393983,12.70108968,3.85e-06,1.7e-05,0.025200792000000003,0.11137238,12.7156614785992,19.58890556384423
358,Total S. & Cent. America,1999,418.109481,,891.7125947000001,20.60121998,30.20605776,79.55504791,81.37457946,119.31145659999999,527.2850513999999,2.507895913,11.083395199999998,239.2840224,342.6371454,46.52888559,464.6548248,3.3951819989999996,15.00466732,2.87392e-05,0.00012701,0.033595493,0.14847192,17.9700778210117,27.08530811164937
359,Total S. & Cent. America,2000,424.215788,,909.6460071,20.967901899999998,35.32251011,83.97747754,87.46299091,125.73010479999999,555.6516252,2.766059013,12.2243212,240.2093184,344.83827260000004,47.08515587,477.07715920000004,3.426297511,15.14217922,0.000491246,0.0021710139999999998,0.057040955,0.252086796,28.49544921875,41.552884825625185
360,Total S. & Cent. America,2001,430.226574,,926.2375073,19.83532587,38.71860174,88.43834104,91.30634342,117.979628,521.3991679,4.827981581,21.3367818,243.41662680000002,349.13723139999996,46.54621467,478.29890300000005,3.800999725,16.79813818,0.0008625039999999999,0.00381175,0.07262592799999999,0.320963025,24.4438910505837,34.65856662924293
361,Total S. & Cent. America,2002,436.143754,,922.2576422000001,19.54755191,35.60113162,89.21133872,93.90707753,123.8546676,547.3633179999999,4.44774173,19.6563498,242.62630479999999,346.0246414,46.45508548,483.92794910000003,4.240344363999999,18.73977788,0.001402509,0.00619825,0.10382376300000001,0.45883873799999997,25.0232558139535,34.92781933115298
362,Total S. & Cent. America,2003,441.966511,,920.7561078,21.07342574,41.85160661,92.99283641,102.863447,129.1234878,570.648342,4.734582251,20.9240128,236.5435651,343.2130466,46.33284778,489.0982869,4.6303895619999995,20.46354363,0.001939177,0.00857,0.10025556699999999,0.443069454,28.830703125,39.345605269616165
363,Total S. & Cent. America,2004,447.69576100000006,,977.3879247000001,22.40971446,45.50270076,103.9040062,116.10347820000001,133.2838992,589.0348642999999,4.410279721,19.4907902,246.50175530000004,367.5072619,48.19884178,515.3916392,4.88198427,21.57544128,0.0025165689999999998,0.011121726,0.122954811,0.543386492,38.265,50.866116225516144
364,Total S. & Cent. America,2005,453.33440099999996,,1003.7098490000001,21.08135696,49.28467167,107.93455729999998,119.8412993,141.2300533,624.1520975999999,3.783940716,16.722747599999998,253.955517,374.7359092,49.24113123,533.1684993,5.1830741,22.90607768,0.004051580999999999,0.017905556,0.12044013699999999,0.532273141,54.5210894941634,70.1004977962667
365,Total S. & Cent. America,2006,458.87671900000004,,1056.4481640000001,24.44882177,53.4785856,115.1991043,130.5268442,147.6861562,652.6841986000001,4.85927954,21.4751,262.2447086,381.9493994,51.10003208,560.0605489,5.622478538999999,24.84798165,0.001857927,0.008210921999999999,0.175082878,0.77376127,65.1440625,81.1415183640253
366,Total S. & Cent. America,2007,464.326611,,1102.701183,26.03280862,55.74122638,118.64260530000001,135.2094712,152.90256509999998,675.7375963999999,4.435841969,19.60376,274.0311659,374.4814217,52.56312429,582.9382192,6.893232241000001,30.46395057,0.002379497,0.010515951,0.262786345,1.161357975,72.3890784313725,87.6687034834556
367,Total S. & Cent. America,2008,469.70832,,1144.380244,27.65566342,57.39491497,118.7141989,135.7537882,153.9347534,680.2992492000001,4.83381907,21.362579999999998,287.9278,380.53154010000003,53.55454267,600.8171937000001,7.7509588979999995,34.25458775,0.003289373,0.014537053999999999,0.37796840200000004,1.6703935559999998,97.255972762646,113.42923950204943
